,E_SCALED,E_SCALED_ERR,FE_H,FE_H_ERR,ALPHA_FE,ALPHA_FE_ERR,AL_FE,AL_FE_ERR,CE_FE,CE_FE_ERR,MG_MN,MG_MN_ERR
0,-1.3809432631392482,0.06575403969725784,-1.3942,0.013948348,-1.204415,0.022053897,-0.18141901,0.03358715,-0.09106004,0.08951252,0.40643096,0.051100176
1,-1.4421173650344055,0.028672322848560725,-1.1601,0.011487761,-0.998065,0.015532912,-0.29001904,0.024236053,-0.108860016,0.03773185,0.42984098,0.032920968
2,-1.6826917178638705,0.010399367121943214,-0.59167,0.009639723,-0.28135496,0.011882215,0.19903097,0.021512223,-0.26512003,0.036382068,0.49610096,0.022766247
3,-1.564943967625537,0.03339503181706634,-1.3164,0.0159222,-1.1432451,0.023538869,-0.34191895,0.038742375,-0.09455991,0.08404854,0.54215896,0.05377611
4,-1.5922124522950583,0.011929015087343432,-1.1061,0.008804961,-0.69760495,0.014863749,0.267771,0.021867137,0.13331997,0.10670367,0.78887105,0.033696517
5,-1.5132742044035166,0.03244125415389353,-1.2635,0.011318124,-0.84472495,0.01589869,0.58478093,0.02424204,0.23690999,0.043507867,0.63777095,0.034471717
6,-1.5894167768045326,0.019016643673843793,-1.4712,0.01491388,-1.187185,0.024550797,-0.20591903,0.03683293,-0.14646006,0.106956795,0.906351,0.057853322
7,-1.7547211300319034,0.006623379597461899,-0.40401,0.008724596,-0.173995,0.010754582,0.160911,0.020379264,-0.20244002,0.0431977,0.38187099,0.02042876
8,-1.5408278153114305,0.027736457927651646,-0.71396,0.013630843,-0.730648,0.01920597,-0.17459899,0.03861052,-0.37019998,0.13825867,0.4415595,0.042117834
9,-1.5941785534412742,0.024218248881105974,-1.2759,0.019128287,-1.079605,0.02843369,-0.21601903,0.050550055,-0.37215996,0.12119654,0.46161103,0.066071175
10,-1.7447680460941286,0.006786671466850967,-0.45865,0.010028546,-0.331325,0.012050279,-0.023079008,0.022968696,-0.19652003,0.037430022,0.21534103,0.022377701
11,-1.4746194389907388,0.05490468492933389,-1.2219,0.014032344,-0.984625,0.020896524,-0.19721901,0.0343569,-0.18496001,0.0860177,0.48217106,0.047364555
12,-1.6099545417773962,0.02437228560756892,-1.0627,0.012256696,-0.88277507,0.017492943,-0.29471898,0.02918714,-0.09425998,0.06960153,0.590141,0.038430527
13,-1.6453766142302155,0.01820220744879276,-0.65308,0.012684398,-0.466465,0.016862903,-0.034489036,0.033627935,-0.18613005,0.09221918,0.46376106,0.035404064
14,-1.392209901147831,0.01766516821222103,-1.7631,0.014382535,-1.624285,0.027304588,-0.284119,0.035598047,1.620429,0.13348721,0.34494114,0.06575854
15,-1.8020010554796055,0.005735874804818886,-0.4463,0.008531428,-0.18992499,0.01082694,0.216546,0.020301584,-0.16981003,0.050465386,0.458051,0.021191457
16,-1.4644487002934825,0.07353639883357391,-1.3261,0.0152874915,-1.1263549,0.023791958,-0.17371905,0.03850012,-0.24716008,0.105530754,0.494691,0.055230584
17,-1.7525149402470659,0.006834015990404296,-0.48828,0.009279768,-0.22863501,0.011324192,0.12899101,0.021007586,-0.26974,0.037192244,0.398351,0.021356894
18,-1.6900280098496454,0.009623644011240832,-0.71064,0.008358304,-0.597428,0.012333504,-0.048499048,0.02114696,-0.027450025,0.090477236,0.32594502,0.02666456
19,-1.5799296337979525,0.02459113709882964,-0.75301,0.010881757,-0.463875,0.014170123,0.18737096,0.0255444,-0.25103003,0.052672517,0.46812102,0.028964246
20,-1.5686404791896025,0.016775738732902536,-1.3485,0.011735559,-1.089265,0.017023362,-0.23431897,0.024884585,-0.20035994,0.044795863,0.5865611,0.037664127
21,-1.6460769957380306,0.009040641908278921,-0.41524,0.0077672387,-0.27695498,0.01051283,0.109090984,0.019604212,-0.21533,0.0742065,0.273481,0.021536227
22,-1.3142340781415434,0.026830252103634412,-0.87069,0.009924361,-0.73531497,0.013416753,-0.28082907,0.022386054,-0.124060035,0.048500996,0.331945,0.028058426
23,-1.5780307273174206,0.010461389203164145,-0.70777,0.01016172,-0.609948,0.012682872,-0.23517907,0.022218125,-0.11739004,0.03498878,0.29335195,0.024768047
24,-1.6794382590302694,0.006058588765587483,-0.69758,0.0098442035,-0.52872497,0.013881072,0.09474099,0.025161661,-0.23193002,0.08789063,0.37910104,0.029712519
25,-1.6551073134442857,0.013200063521824925,-1.7943,0.012122321,-1.495225,0.021692047,-0.30611908,0.026244042,0.7340399,0.06985619,0.6006212,0.05119315
